case_id,title,category,severity,device_type,source_device,destination_device,symptoms,topology_notes,expected_fault,expected_osi_layer,concept_tag,ai_root_cause,ai_confidence,ai_confidence_score,human_decision,reviewer,status,created_at
6a832d6455a03a9e430c196a,"PC in VLAN 10 Cannot Reach Server in VLAN 30",VLAN,high,"Router + Switch","PC1 (VLAN 10)","Server (VLAN 30)","PC receives an IP address but cannot reach the server in VLAN 30. The PC can ping its default gateway (192.168.10.1). Pinging 192.168.30.10 results in timeout.","PC is connected to access switch SW1 (port Fa0/1, access VLAN 10). SW1 connects to router R1 via trunk link (Gi0/0). Server is in VLAN 30 connected to SW1 (port Fa0/24). R1 has subinterfaces for VLAN 10 and VLAN 20 but VLAN 30 is missing.","Router subinterface for VLAN 30 is missing. VLAN 30 also not in trunk allowed list.","Layer 3 (Network)","VLAN; Inter-VLAN Routing; Router-on-a-Stick","Router subinterface for VLAN 30 (GigabitEthernet0/0.30) is missing on R1. Additionally, VLAN 30 is excluded from the trunk allowed VLAN list (vlans 1-29,31-4094).",high,90,accepted,"Senior Network Engineer",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1971,"Native VLAN Mismatch on Inter-Switch Trunk",VLAN,medium,"Switch","SW1 (Gi0/1)","SW2 (Gi0/1)","CDP error logs flooding switch console: %CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1) with SW2 GigabitEthernet0/1 (99). Management traffic dropping.","SW1 connects to SW2 over 802.1Q trunk on Gi0/1. SW1 has default native VLAN 1, while SW2 was configured with native VLAN 99.","Native VLAN mismatch: SW1 has Native VLAN 1 whereas SW2 has Native VLAN 99.","Layer 2 (Data Link)","VLAN; Native VLAN; 802.1Q; Trunk","802.1Q Native VLAN mismatch between SW1 (VLAN 1) and SW2 (VLAN 99) on trunk link Gi0/1. Untagged frames will leak between different VLANs causing spanning-tree loops and packet drops.",high,95,accepted,"Network Analyst",verified,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1977,"Access Port Assigned to Default VLAN 1 Instead of Finance VLAN 20",VLAN,low,"Switch","Finance PC (Fa0/5)","Finance Server (VLAN 20)","Finance user cannot connect to accounting software or print to Finance printer. PC receives 169.254.x.x APIPA address.","Finance PC is plugged into switch SW1 port Fa0/5. Finance VLAN is 20 with DHCP server on 192.168.20.1.","Port Fa0/5 is in VLAN 1 (default) instead of VLAN 20 FINANCE.","Layer 2 (Data Link)","VLAN; Access Port; Switchport","Switch port Fa0/5 is assigned to default VLAN 1 rather than Finance VLAN 20. DHCP discover broadcasts cannot reach the VLAN 20 DHCP server.",high,95,accepted,"Field Tech",fixed,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c197c,"VTP Pruning Stripping VLAN 50 Across Distribution Trunk",VLAN,medium,"Switch","SW-Dist1","SW-Access2","Hosts on SW-Access2 in VLAN 50 cannot communicate with central servers. VTP is operating in Server/Client mode across the campus.","SW-Dist1 is VTP server with pruning enabled. SW-Access2 had no active access ports in VLAN 50 initially, causing VTP pruning on the uplink. A new host was just plugged in.","VLAN 50 is pruned on the trunk because access switch reported no active ports in VLAN 50.","Layer 2 (Data Link)","VLAN; VTP; VTP Pruning; Trunking","AI Initial Diagnosis: VTP domain name is mismatched between switches or VTP password was typed incorrectly, preventing VLAN 50 database propagation.",medium,60,edited,"Lead Network Architect",edited,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1982,"Gateway Unreachable — Subnet Mask Mismatch (/24 vs /28)",Gateway,high,"Router + PC","PC1 (192.168.1.30)","Default Gateway (192.168.1.1)","PC cannot reach the Internet or any device outside the local switch. Pinging default gateway 192.168.1.1 returns ""Destination host unreachable"".","PC IP: 192.168.1.30 255.255.255.240 (/28). Router Gi0/0 IP: 192.168.1.1 255.255.255.0 (/24).","PC is configured with /28 mask (192.168.1.16 - 192.168.1.31) making 192.168.1.1 appear in a different subnet.","Layer 3 (Network)","Gateway; Subnetting; IP Addressing","Subnet mask mismatch between PC and Router. PC has 255.255.255.240 (/28), placing host .30 in subnet 192.168.1.16/28, while Gateway .1 is in 192.168.1.0/28. The PC attempts to ARP through a gateway it cannot reach.",high,92,accepted,"L2 Network Engineer",verified,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1988,"HSRP Split Brain — ACL Blocking UDP 1985 Hellos",Gateway,critical,"Router","R1 (Active)","R2 (Standby)","Both R1 and R2 are in HSRP ""Active"" state simultaneously on VLAN 10 (Virtual IP 192.168.10.254). Duplicate MAC address warnings on LAN switches.","R1 and R2 participate in HSRP group 10 on interface Gi0/0.10. An access-list was recently applied on R2 GigabitEthernet0/0.10.","ACL 100 inbound on R2 subinterface denies HSRP UDP port 1985 multicast packets (224.0.0.2).","Layer 3 / Layer 4","Gateway; HSRP; First Hop Redundancy; ACL","AI Initial Diagnosis: HSRP Group number mismatch between R1 and R2 or HSRP priority conflict.",medium,55,edited,"Senior Infrastructure Engineer",edited,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c198e,"Proxy ARP Disabled on Gateway Router Interface",Gateway,low,"Router","Legacy Host A","Host B (Remote Subnet)","Legacy client configured without a default gateway fails to communicate outside the subnet. ""no ip proxy-arp"" was applied during security hardening.","Host A (192.168.1.50/24) has no default gateway configured, relying on Proxy ARP from Router R1 (192.168.1.1).","Proxy ARP is disabled on Gi0/0, preventing unconfigured legacy clients from resolving remote IPs.","Layer 2 / Layer 3","Gateway; Proxy ARP; Default Gateway","Proxy ARP is disabled on router interface Gi0/0. Legacy devices configured without an explicit default gateway cannot resolve MAC addresses for remote destinations.",high,88,accepted,"System Administrator",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1993,"DHCP Pool Exhaustion in Engineering Subnet",DHCP,high,"Router","Engineering Laptop","DHCP Server (R1)","New laptops joining VLAN 20 cannot acquire IP addresses. Existing devices retain communication until lease expiration.","DHCP pool POOL_ENG configured with 192.168.20.0/24. 253 addresses leased.","DHCP pool POOL_ENG is 100% utilized (254 of 254 leased).","Layer 7 (Application)","DHCP; DHCP Pool; IP Lease","DHCP address pool POOL_ENG on R1 is completely exhausted (254/254 active leases). No free IP addresses remain for new clients.",high,95,accepted,"NOC Lead",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1999,"Missing IP Helper-Address for Remote DHCP Relay",DHCP,high,"Router","VLAN 30 Clients","Central DHCP Server (10.0.0.5)","Clients in VLAN 30 fail to receive DHCP leases. Central DHCP server 10.0.0.5 shows zero DHCP discover requests received from 192.168.30.0 subnet.","VLAN 30 gateway resides on Router R1 subinterface Gi0/0.30 (192.168.30.1). DHCP server is located across the WAN on 10.0.0.5.","Subinterface Gi0/0.30 is missing ""ip helper-address 10.0.0.5"".","Layer 3 / Layer 7","DHCP; DHCP Relay; IP Helper-Address","AI Initial Diagnosis: Central DHCP server service has stopped or firewall is blocking UDP port 67/68 across the WAN.",medium,65,rejected,"Senior Network Engineer",rejected,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c199e,"DHCP Snooping Untrusted Uplink Dropping DHCP Offers",DHCP,high,"Switch","Access Switch SW1 (Gi0/1)","DHCP Server on Core","DHCP Snooping enabled on SW1. All clients stopped getting IP addresses immediately after feature activation. Console logs: %DHCP_SNOOPING-5-DHCP_OFFER_DROPPED.","SW1 Gi0/1 is the uplink to the Core Switch where DHCP server is connected. DHCP Snooping is enabled on VLAN 10,20.","Uplink port Gi0/1 is not configured as trusted (ip dhcp snooping trust).","Layer 2 / Layer 7","DHCP; DHCP Snooping; Layer 2 Security","DHCP Snooping is enabled on SW1, but uplink interface Gi0/1 is untrusted. DHCP Snooping drops all server responses (DHCPOFFER, DHCPACK) arriving on untrusted ports.",high,95,accepted,"Security Engineer",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
